t,phi1,phi2,phi3,phi4,phi5,phi6,w1,w2,w3,v1,v2,v3,vd_w1,vd_w2,vd_w3,vd_v1,vd_v2,vd_v3,upri1,upri2,upri3,upri4,upri5,upri6,upri7,ufin1,ufin2,ufin3,ufin4,ufin5,ufin6,ufin7
1.565675,-0.003056,-0.018049,-0.002064,0.090697,-0.013147,-0.112218,0.340472,2.408657,0.237992,0.563950,-0.030587,-0.132795,0.000000,0.000000,0.000000,-0.004831,0.150719,0.020000,4.013062,76.975685,1.257680,87.000000,0.727357,10.390635,-0.232242,4.013062,76.975685,1.257680,87.000000,0.727357,10.390635,-0.232242
1.657885,-0.003385,-0.020306,-0.002225,0.090386,-0.013920,-0.111962,0.329962,2.256630,0.156270,0.536812,-0.034197,-0.145070,0.000000,0.000000,0.000000,-0.005115,0.150710,0.020000,4.398933,80.049341,1.610245,87.000000,0.695081,11.515471,-0.176388,4.398933,80.049341,1.610245,87.000000,0.695081,11.515471,-0.175388
1.749889,-0.003714,-0.022722,-0.002407,0.090051,-0.014692,-0.111682,0.329254,2.416220,0.184230,0.577292,-0.034554,-0.155036,0.000000,0.000000,0.000000,-0.005399,0.150700,0.020000,5.024492,78.279065,2.311533,87.000000,0.951337,10.142123,-0.155957,5.024492,78.279065,2.311533,87.000000,0.951337,10.142123,-0.154957
1.853471,-0.004029,-0.024975,-0.002526,0.089722,-0.015455,-0.111406,0.316558,2.252462,0.115322,0.550969,-0.037660,-0.167093,0.000000,0.000000,0.000000,-0.005684,0.150689,0.020000,4.855873,69.286469,2.274063,87.000000,1.378136,9.522231,-0.034266,4.855873,69.286469,2.274063,87.000000,1.378136,9.522231,-0.033266
1.958220,-0.004358,-0.027377,-0.002677,0.089366,-0.016212,-0.111108,0.329936,2.402440,0.158191,0.591840,-0.043914,-0.174532,0.000000,0.000000,0.000000,-0.005968,0.150678,0.020000,5.257063,66.304194,2.714009,87.000000,1.528150,8.240736,-0.040187,5.257063,66.304194,2.714009,87.000000,1.528150,8.240736,-0.039187
2.055141,-0.004703,-0.029879,-0.002858,0.088982,-0.016966,-0.110785,0.346570,2.501811,0.171250,0.629661,-0.057470,-0.191367,0.000000,0.000000,0.000000,-0.006252,0.150667,0.020000,5.414833,69.812165,2.802870,87.000000,1.474113,7.401901,-0.003840,5.414833,69.812165,2.802870,87.000000,1.474113,7.401901,-0.004840
2.143992,-0.005028,-0.032195,-0.003015,0.088605,-0.017724,-0.110478,0.326431,2.315472,0.152917,0.598534,-0.046684,-0.193762,0.000000,0.000000,0.000000,-0.006536,0.150655,0.020000,6.261139,72.094079,3.645890,87.000000,1.705639,8.829313,-0.078169,6.261139,72.094079,3.645890,87.000000,1.705639,8.829313,-0.077169
2.233260,-0.005377,-0.034612,-0.003177,0.088204,-0.018470,-0.110144,0.350380,2.416542,0.150781,0.632823,-0.064110,-0.210207,0.000000,0.000000,0.000000,-0.006820,0.150642,0.020000,6.081422,70.436733,3.468629,87.000000,1.608106,7.864909,-0.021575,6.081422,70.436733,3.468629,87.000000,1.608106,7.864909,-0.020575
2.330769,-0.005733,-0.037104,-0.003378,0.087781,-0.019224,-0.109795,0.356872,2.491879,0.190363,0.659353,-0.060500,-0.220023,0.000000,0.000000,0.000000,-0.007103,0.150629,0.020000,6.976510,68.753333,4.417109,87.000000,1.791313,7.102132,-0.044526,6.976510,68.753333,4.417109,87.000000,1.791313,7.102132,-0.043526
2.425075,-0.006086,-0.039401,-0.003523,0.087366,-0.019966,-0.109450,0.355303,2.296464,0.128494,0.628581,-0.067997,-0.233923,0.000000,0.000000,0.000000,-0.007387,0.150615,0.020000,7.070969,68.928864,4.507677,87.000000,1.680243,8.337669,-0.020793,7.070969,68.928864,4.507677,87.000000,1.681243,8.337669,-0.019793
